2021-01-12 10:13:03 status unpacked gnupg:amd64 2.1.18-8~deb9u4
2021-01-12 10:13:03 status unpacked gnupg:amd64 2.1.18-8~deb9u4
2021-01-12 10:13:03 install libgmp10:amd64 <none> 2:6.1.2+dfsg-1
2021-01-12 10:13:03 status half-installed libgmp10:amd64 2:6.1.2+dfsg-1
2021-01-12 10:13:03 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2021-01-12 10:13:03 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2021-01-12 10:13:03 install libnettle6:amd64 <none> 3.3-1+b2
2021-01-12 10:13:03 status half-installed libnettle6:amd64 3.3-1+b2
2021-01-12 10:13:03 status unpacked libnettle6:amd64 3.3-1+b2
2021-01-12 10:13:03 status unpacked libnettle6:amd64 3.3-1+b2
2021-01-12 10:13:03 install libhogweed4:amd64 <none> 3.3-1+b2
2021-01-12 10:13:03 status half-installed libhogweed4:amd64 3.3-1+b2
2021-01-12 10:13:03 status unpacked libhogweed4:amd64 3.3-1+b2
2021-01-12 10:13:03 status unpacked libhogweed4:amd64 3.3-1+b2
2021-01-12 10:13:03 install libidn11:amd64 <none> 1.33-1+deb9u1
2021-01-12 10:13:03 status half-installed libidn11:amd64 1.33-1+deb9u1
2021-01-12 10:13:03 status unpacked libidn11:amd64 1.33-1+deb9u1
2021-01-12 10:13:03 status unpacked libidn11:amd64 1.33-1+deb9u1
2021-01-12 10:13:03 install libffi6:amd64 <none> 3.2.1-6
2021-01-12 10:13:03 status half-installed libffi6:amd64 3.2.1-6
2021-01-12 10:13:03 status unpacked libffi6:amd64 3.2.1-6
2021-01-12 10:13:03 status unpacked libffi6:amd64 3.2.1-6
2021-01-12 10:13:03 install libp11-kit0:amd64 <none> 0.23.3-2+deb9u1
2021-01-12 10:13:03 status half-installed libp11-kit0:amd64 0.23.3-2+deb9u1
2021-01-12 10:13:03 status unpacked libp11-kit0:amd64 0.23.3-2+deb9u1
2021-01-12 10:13:03 status unpacked libp11-kit0:amd64 0.23.3-2+deb9u1
2021-01-12 10:13:03 install libtasn1-6:amd64 <none> 4.10-1.1+deb9u1
2021-01-12 10:13:03 status half-installed libtasn1-6:amd64 4.10-1.1+deb9u1
2021-01-12 10:13:03 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2021-01-12 10:13:03 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2021-01-12 10:13:03 install libgnutls30:amd64 <none> 3.5.8-5+deb9u5
2021-01-12 10:13:03 status half-installed libgnutls30:amd64 3.5.8-5+deb9u5
2021-01-12 10:13:03 status unpacked libgnutls30:amd64 3.5.8-5+deb9u5
2021-01-12 10:13:03 status unpacked libgnutls30:amd64 3.5.8-5+deb9u5
2021-01-12 10:13:04 install libsasl2-modules-db:amd64 <none> 2.1.27~101-g0780600+dfsg-3+deb9u1
2021-01-12 10:13:04 status half-installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2021-01-12 10:13:04 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2021-01-12 10:13:04 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2021-01-12 10:13:04 install libsasl2-2:amd64 <none> 2.1.27~101-g0780600+dfsg-3+deb9u1
2021-01-12 10:13:04 status half-installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2021-01-12 10:13:04 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2021-01-12 10:13:04 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2021-01-12 10:13:04 install libldap-common:all <none> 2.4.44+dfsg-5+deb9u6
2021-01-12 10:13:04 status half-installed libldap-common:all 2.4.44+dfsg-5+deb9u6
2021-01-12 10:13:04 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u6
2021-01-12 10:13:04 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u6
2021-01-12 10:13:04 install libldap-2.4-2:amd64 <none> 2.4.44+dfsg-5+deb9u6
2021-01-12 10:13:04 status half-installed libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u6
2021-01-12 10:13:04 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u6
2021-01-12 10:13:04 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u6
2021-01-12 10:13:04 install dirmngr:amd64 <none> 2.1.18-8~deb9u4
2021-01-12 10:13:04 status half-installed dirmngr:amd64 2.1.18-8~deb9u4
2021-01-12 10:13:04 status unpacked dirmngr:amd64 2.1.18-8~deb9u4
2021-01-12 10:13:04 status unpacked dirmngr:amd64 2.1.18-8~deb9u4
2021-01-12 10:13:04 startup packages configure
2021-01-12 10:13:04 configure libnpth0:amd64 1.3-1 <none>
2021-01-12 10:13:04 status unpacked libnpth0:amd64 1.3-1
2021-01-12 10:13:04 status half-configured libnpth0:amd64 1.3-1
2021-01-12 10:13:04 status installed libnpth0:amd64 1.3-1
2021-01-12 10:13:04 configure readline-common:all 7.0-3 <none>
2021-01-12 10:13:04 status unpacked readline-common:all 7.0-3
2021-01-12 10:13:04 status half-configured readline-common:all 7.0-3
2021-01-12 10:13:04 status installed readline-common:all 7.0-3
2021-01-12 10:13:04 configure libnettle6:amd64 3.3-1+b2 <none>
2021-01-12 10:13:04 status unpacked libnettle6:amd64 3.3-1+b2
2021-01-12 10:13:04 status half-configured libnettle6:amd64 3.3-1+b2
2021-01-12 10:13:04 status installed libnettle6:amd64 3.3-1+b2
2021-01-12 10:13:04 configure libldap-common:all 2.4.44+dfsg-5+deb9u6 <none>
2021-01-12 10:13:04 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u6
2021-01-12 10:13:04 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u6
2021-01-12 10:13:04 status half-configured libldap-common:all 2.4.44+dfsg-5+deb9u6
2021-01-12 10:13:04 status installed libldap-common:all 2.4.44+dfsg-5+deb9u6
2021-01-12 10:13:04 configure libreadline7:amd64 7.0-3 <none>
2021-01-12 10:13:04 status unpacked libreadline7:amd64 7.0-3
2021-01-12 10:13:04 status half-configured libreadline7:amd64 7.0-3
2021-01-12 10:13:04 status installed libreadline7:amd64 7.0-3
2021-01-12 10:13:04 configure libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1 <none>
2021-01-12 10:13:04 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2021-01-12 10:13:04 status half-configured libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2021-01-12 10:13:04 status installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2021-01-12 10:13:04 configure libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1 <none>
2021-01-12 10:13:04 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2021-01-12 10:13:04 status half-configured libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2021-01-12 10:13:04 status installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2021-01-12 10:13:04 configure libksba8:amd64 1.3.5-2 <none>
2021-01-12 10:13:04 status unpacked libksba8:amd64 1.3.5-2
2021-01-12 10:13:04 status half-configured libksba8:amd64 1.3.5-2
2021-01-12 10:13:04 status installed libksba8:amd64 1.3.5-2
2021-01-12 10:13:04 configure libtasn1-6:amd64 4.10-1.1+deb9u1 <none>
2021-01-12 10:13:04 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2021-01-12 10:13:04 status half-configured libtasn1-6:amd64 4.10-1.1+deb9u1
2021-01-12 10:13:04 status installed libtasn1-6:amd64 4.10-1.1+deb9u1
2021-01-12 10:13:04 configure libgmp10:amd64 2:6.1.2+dfsg-1 <none>
2021-01-12 10:13:04 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2021-01-12 10:13:04 status half-configured libgmp10:amd64 2:6.1.2+dfsg-1
2021-01-12 10:13:04 status installed libgmp10:amd64 2:6.1.2+dfsg-1
2021-01-12 10:13:04 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2021-01-12 10:13:04 status half-configured libc-bin:amd64 2.24-11+deb9u4
2021-01-12 10:13:04 status installed libc-bin:amd64 2.24-11+deb9u4
2021-01-12 10:13:04 configure libsqlite3-0:amd64 3.16.2-5+deb9u3 <none>
2021-01-12 10:13:04 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2021-01-12 10:13:04 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u3
2021-01-12 10:13:04 status half-configured libsqlite3-0:amd64 3.16.2-5+deb9u3
2021-01-12 10:13:04 status installed libsqlite3-0:amd64 3.16.2-5+deb9u3
2021-01-12 10:13:04 configure libffi6:amd64 3.2.1-6 <none>
2021-01-12 10:13:04 status unpacked libffi6:amd64 3.2.1-6
2021-01-12 10:13:04 status half-configured libffi6:amd64 3.2.1-6
2021-01-12 10:13:04 status installed libffi6:amd64 3.2.1-6
2021-01-12 10:13:04 configure libassuan0:amd64 2.4.3-2 <none>
2021-01-12 10:13:04 status unpacked libassuan0:amd64 2.4.3-2
2021-01-12 10:13:04 status half-configured libassuan0:amd64 2.4.3-2
2021-01-12 10:13:04 status installed libassuan0:amd64 2.4.3-2
2021-01-12 10:13:04 configure libidn11:amd64 1.33-1+deb9u1 <none>
2021-01-12 10:13:04 status unpacked libidn11:amd64 1.33-1+deb9u1
2021-01-12 10:13:04 status half-configured libidn11:amd64 1.33-1+deb9u1
2021-01-12 10:13:04 status installed libidn11:amd64 1.33-1+deb9u1
2021-01-12 10:13:04 configure libhogweed4:amd64 3.3-1+b2 <none>
2021-01-12 10:13:04 status unpacked libhogweed4:amd64 3.3-1+b2
2021-01-12 10:13:04 status half-configured libhogweed4:amd64 3.3-1+b2
2021-01-12 10:13:04 status installed libhogweed4:amd64 3.3-1+b2
2021-01-12 10:13:04 configure libp11-kit0:amd64 0.23.3-2+deb9u1 <none>
2021-01-12 10:13:04 status unpacked libp11-kit0:amd64 0.23.3-2+deb9u1
2021-01-12 10:13:04 status half-configured libp11-kit0:amd64 0.23.3-2+deb9u1
2021-01-12 10:13:04 status installed libp11-kit0:amd64 0.23.3-2+deb9u1
2021-01-12 10:13:04 configure pinentry-curses:amd64 1.0.0-2 <none>
2021-01-12 10:13:04 status unpacked pinentry-curses:amd64 1.0.0-2
2021-01-12 10:13:04 status half-configured pinentry-curses:amd64 1.0.0-2
2021-01-12 10:13:04 status installed pinentry-curses:amd64 1.0.0-2
2021-01-12 10:13:04 configure gnupg-agent:amd64 2.1.18-8~deb9u4 <none>
2021-01-12 10:13:04 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u4
2021-01-12 10:13:04 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u4
2021-01-12 10:13:04 status half-configured gnupg-agent:amd64 2.1.18-8~deb9u4
2021-01-12 10:13:04 status installed gnupg-agent:amd64 2.1.18-8~deb9u4
2021-01-12 10:13:04 configure gnupg:amd64 2.1.18-8~deb9u4 <none>
2021-01-12 10:13:04 status unpacked gnupg:amd64 2.1.18-8~deb9u4
2021-01-12 10:13:04 status half-configured gnupg:amd64 2.1.18-8~deb9u4
2021-01-12 10:13:04 status installed gnupg:amd64 2.1.18-8~deb9u4
2021-01-12 10:13:04 configure libgnutls30:amd64 3.5.8-5+deb9u5 <none>
2021-01-12 10:13:04 status unpacked libgnutls30:amd64 3.5.8-5+deb9u5
2021-01-12 10:13:04 status half-configured libgnutls30:amd64 3.5.8-5+deb9u5
2021-01-12 10:13:04 status installed libgnutls30:amd64 3.5.8-5+deb9u5
2021-01-12 10:13:04 configure libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u6 <none>
2021-01-12 10:13:04 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u6
2021-01-12 10:13:04 status half-configured libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u6
2021-01-12 10:13:04 status installed libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u6
2021-01-12 10:13:04 configure dirmngr:amd64 2.1.18-8~deb9u4 <none>
